State,Total,With health insurance coverage,No health insurance coverage,year,state_code,uninsured
Alabama,4887871,4366917,520954,2018,AL,0.106580963
Alaska,737438,647908,89530,2018,AK,0.121406817
Arizona,7171646,6366617,805029,2018,AZ,0.112251637
Arkansas,3013825,2744476,269349,2018,AR,0.089371148
California,39557045,36659160,2897885,2018,CA,0.073258379
Colorado,5695564,5244348,451216,2018,CO,0.079222356
Connecticut,3572665,3382274,190391,2018,CT,0.053291031
Delaware,967171,910788,56383,2018,DE,0.058296827
District of Columbia,702455,678733,23722,2018,DC,0.033770135
Florida,21299325,18407062,2892263,2018,FL,0.135791299
Georgia,10519475,9013659,1505816,2018,GA,0.143145547
Hawaii,1420491,1361157,59334,2018,HI,0.041770064
Idaho,1754208,1556891,197317,2018,ID,0.1124821
Illinois,12741080,11830743,910337,2018,IL,0.071448967
Indiana,6691878,6110542,581336,2018,IN,0.086871877
Iowa,3156145,2997711,158434,2018,IA,0.050198581
Kansas,2911510,2652552,258958,2018,KS,0.088942851
Kentucky,4468402,4205807,262595,2018,KY,0.058767094
Louisiana,4659978,4260844,399134,2018,LA,0.085651477
Maine,1338404,1233828,104576,2018,ME,0.078134853
Maryland,6042718,5676472,366246,2018,MD,0.060609481
Massachusetts,6902197,6710157,192040,2018,MA,0.027823025
Michigan,9995915,9435447,560468,2018,MI,0.056069704
Minnesota,5611179,5361758,249421,2018,MN,0.04445073
Mississippi,2986530,2595748,390782,2018,MS,0.130848175
Missouri,6126452,5535462,590990,2018,MO,0.096465295
Montana,1062305,975870,86435,2018,MT,0.081365521
Nebraska,1929268,1764862,164406,2018,NE,0.085216777
Nevada,3034392,2683384,351008,2018,NV,0.115676551
New Hampshire,1356410,1283542,72868,2018,NH,0.05372122
New Jersey,8908520,8237938,670582,2018,NJ,0.075274232
New Mexico,2095428,1894159,201269,2018,NM,0.096051499
New York,19542209,18486639,1055570,2018,NY,0.054014876
North Carolina,10383620,9258188,1125432,2018,NC,0.108385322
North Dakota,760077,702190,57887,2018,ND,0.076159389
Ohio,11689442,10900981,788461,2018,OH,0.067450696
Oklahoma,3943079,3385681,557398,2018,OK,0.141361104
Oregon,4190713,3880631,310082,2018,OR,0.073992659
Pennsylvania,12807060,12040155,766905,2018,PA,0.059881425
Rhode Island,1057315,1013342,43973,2018,RI,0.041589309
South Carolina,5084127,4533637,550490,2018,SC,0.108276209
South Dakota,882235,799126,83109,2018,SD,0.094202792
Tennessee,6770010,6055423,714587,2018,TN,0.105551838
Texas,28701845,23484339,5217506,2018,TX,0.181782948
Utah,3161105,2867910,293195,2018,UT,0.092750794
Vermont,626299,601070,25229,2018,VT,0.040282676
Virginia,8517685,7765968,751717,2018,VA,0.088253675
Washington,7535591,7039900,495691,2018,WA,0.065779977
West Virginia,1805832,1685691,120141,2018,WV,0.066529445
Wisconsin,5813568,5476516,337052,2018,WI,0.057976788
