STATEFIP,State,state_code,uninsured,Year
1,Alabama,AL,0.26976288683115157,2008
2,Alaska,AK,0.31510847734445696,2008
4,Arizona,AZ,0.3160336892077168,2008
5,Arkansas,AR,0.34192528540259226,2008
6,California,CA,0.3033374214589979,2008
8,Colorado,CO,0.28553641387154055,2008
9,Connecticut,CT,0.17819357056902183,2008
10,Delaware,DE,0.18971170267215998,2008
11,District of Columbia,DC,0.10661764705882353,2008
12,Florida,FL,0.3651239051412915,2008
13,Georgia,GA,0.3389523624086868,2008
15,Hawaii,HI,0.11839236968034617,2008
16,Idaho,ID,0.3010135500303483,2008
17,Illinois,IL,0.2385086698776241,2008
18,Indiana,IN,0.2523956771291173,2008
19,Iowa,IA,0.17554653827308284,2008
20,Kansas,KS,0.22144118041663716,2008
21,Kentucky,KY,0.25582521879629794,2008
22,Louisiana,LA,0.3216165262888742,2008
23,Maine,ME,0.19836842145541092,2008
24,Maryland,MD,0.22134957575567293,2008
25,Massachusetts,MA,0.08173982719390074,2008
26,Michigan,MI,0.22660365745051664,2008
27,Minnesota,MN,0.16626736022674035,2008
28,Mississippi,MS,0.30714316927155405,2008
29,Missouri,MO,0.23711793940199533,2008
30,Montana,MT,0.2984524351388257,2008
31,Nebraska,NE,0.1872710700202365,2008
32,Nevada,NV,0.35436695187111916,2008
33,New Hampshire,NH,0.2157624638821289,2008
34,New Jersey,NJ,0.2465984704995605,2008
35,New Mexico,NM,0.3565828901719331,2008
36,New York,NY,0.22521494082846727,2008
37,North Carolina,NC,0.2824297238023698,2008
38,North Dakota,ND,0.17450851097352466,2008
39,Ohio,OH,0.21766156776890053,2008
40,Oklahoma,OK,0.3378600385028322,2008
41,Oregon,OR,0.3062870702606347,2008
42,Pennsylvania,PA,0.1926298880913867,2008
44,Rhode Island,RI,0.20044070906648317,2008
45,South Carolina,SC,0.2962947707033855,2008
46,South Dakota,SD,0.19460683595745407,2008
47,Tennessee,TN,0.24624158078885663,2008
48,Texas,TX,0.3940983760278027,2008
49,Utah,UT,0.22059313178088086,2008
50,Vermont,VT,0.16637979194033006,2008
51,Virginia,VA,0.20760588427721438,2008
53,Washington,WA,0.24371086885382984,2008
54,West Virginia,WV,0.30177357702726737,2008
55,Wisconsin,WI,0.18183882095491552,2008
56,Wyoming,WY,0.24007883326763893,2008
1,Alabama,AL,0.2833169060380222,2009
2,Alaska,AK,0.332894722533358,2009
4,Arizona,AZ,0.31141275211798847,2009
5,Arkansas,AR,0.3433704606947427,2009
6,California,CA,0.31682931158699196,2009
8,Colorado,CO,0.27886253535780475,2009
9,Connecticut,CT,0.19184222441207022,2009
10,Delaware,DE,0.1844447891594902,2009
11,District of Columbia,DC,0.1024512851293704,2009
12,Florida,FL,0.37561799585982064,2009
13,Georgia,GA,0.3473452858630754,2009
15,Hawaii,HI,0.12957990750256937,2009
16,Idaho,ID,0.2999038978385158,2009
17,Illinois,IL,0.25313663517767904,2009
18,Indiana,IN,0.26561039915125445,2009
19,Iowa,IA,0.17525659643417188,2009
20,Kansas,KS,0.241091583836617,2009
21,Kentucky,KY,0.29589980908068175,2009
22,Louisiana,LA,0.324194890077243,2009
23,Maine,ME,0.1784660491172434,2009
24,Maryland,MD,0.22086687216046047,2009
25,Massachusetts,MA,0.08884343240096311,2009
26,Michigan,MI,0.25279428535485443,2009
27,Minnesota,MN,0.1664027636652571,2009
28,Mississippi,MS,0.32260779316139143,2009
29,Missouri,MO,0.2576095329240681,2009
30,Montana,MT,0.32342035667059793,2009
31,Nebraska,NE,0.22842510608710115,2009
32,Nevada,NV,0.36801525505558635,2009
33,New Hampshire,NH,0.21455742006324352,2009
34,New Jersey,NJ,0.2556053280689168,2009
35,New Mexico,NM,0.3558707726552083,2009
36,New York,NY,0.2320836955291802,2009
37,North Carolina,NC,0.2880803208952387,2009
38,North Dakota,ND,0.17398425716440422,2009
39,Ohio,OH,0.23755743720739214,2009
40,Oklahoma,OK,0.34272946764743956,2009
41,Oregon,OR,0.3206002132578269,2009
42,Pennsylvania,PA,0.20389963647456594,2009
44,Rhode Island,RI,0.22346442302151165,2009
45,South Carolina,SC,0.31125587888570755,2009
46,South Dakota,SD,0.2685943967220616,2009
47,Tennessee,TN,0.2701484664130754,2009
48,Texas,TX,0.3997849703265229,2009
49,Utah,UT,0.22238295399219482,2009
50,Vermont,VT,0.1926934458452433,2009
51,Virginia,VA,0.21150489095123676,2009
53,Washington,WA,0.25602517549620296,2009
54,West Virginia,WV,0.3002422664523377,2009
55,Wisconsin,WI,0.18805459614599956,2009
56,Wyoming,WY,0.26591091263025307,2009
1,Alabama,AL,0.2999862132352941,2010
2,Alaska,AK,0.28443090383563785,2010
4,Arizona,AZ,0.2975543059569411,2010
5,Arkansas,AR,0.3493083245676264,2010
6,California,CA,0.318549288682103,2010
8,Colorado,CO,0.2841177939591493,2010
9,Connecticut,CT,0.19251490180341485,2010
10,Delaware,DE,0.20550432671600297,2010
11,District of Columbia,DC,0.10936878506684636,2010
12,Florida,FL,0.3913239270092794,2010
13,Georgia,GA,0.3716931687682881,2010
15,Hawaii,HI,0.1245680629953627,2010
16,Idaho,ID,0.32673438524938864,2010
17,Illinois,IL,0.26826759350279755,2010
18,Indiana,IN,0.2885552477211358,2010
19,Iowa,IA,0.19637148940367,2010
20,Kansas,KS,0.2675239820885541,2010
21,Kentucky,KY,0.3093808851224105,2010
22,Louisiana,LA,0.3377560357570212,2010
23,Maine,ME,0.21838820480579027,2010
24,Maryland,MD,0.23023185551467734,2010
25,Massachusetts,MA,0.08888489430461213,2010
26,Michigan,MI,0.26417550053635186,2010
27,Minnesota,MN,0.17599982095728173,2010
28,Mississippi,MS,0.3601558771143526,2010
29,Missouri,MO,0.25634801693929304,2010
30,Montana,MT,0.2690322521075132,2010
31,Nebraska,NE,0.24001090609109849,2010
32,Nevada,NV,0.38349983431045664,2010
33,New Hampshire,NH,0.2183189922524331,2010
34,New Jersey,NJ,0.2610534884205365,2010
35,New Mexico,NM,0.37355413271494675,2010
36,New York,NY,0.23385212724615334,2010
37,North Carolina,NC,0.308874751038525,2010
38,North Dakota,ND,0.169683126423955,2010
39,Ohio,OH,0.2382602132201271,2010
40,Oklahoma,OK,0.3600061375580191,2010
41,Oregon,OR,0.3212394956078723,2010
42,Pennsylvania,PA,0.213504761513552,2010
44,Rhode Island,RI,0.24361228460029466,2010
45,South Carolina,SC,0.31252814934918705,2010
46,South Dakota,SD,0.21905159287096093,2010
47,Tennessee,TN,0.27887932788295194,2010
48,Texas,TX,0.40864765056111046,2010
49,Utah,UT,0.24902679691281246,2010
50,Vermont,VT,0.15668020129962387,2010
51,Virginia,VA,0.23226918437535468,2010
53,Washington,WA,0.27947866661534027,2010
54,West Virginia,WV,0.3126176640673363,2010
55,Wisconsin,WI,0.19629996665145089,2010
56,Wyoming,WY,0.2725143660960134,2010
1,Alabama,AL,0.27858127667521737,2011
2,Alaska,AK,0.28661614778961664,2011
4,Arizona,AZ,0.28715955626032463,2011
5,Arkansas,AR,0.35445802810353233,2011
6,California,CA,0.3078430824495425,2011
8,Colorado,CO,0.2537083962534492,2011
9,Connecticut,CT,0.1758245677533212,2011
10,Delaware,DE,0.18044829810944496,2011
11,District of Columbia,DC,0.09754321116912558,2011
12,Florida,FL,0.370812539487171,2011
13,Georgia,GA,0.35327236382490995,2011
15,Hawaii,HI,0.11813636165753484,2011
16,Idaho,ID,0.269949215193761,2011
17,Illinois,IL,0.24014434569787763,2011
18,Indiana,IN,0.271981362241899,2011
19,Iowa,IA,0.17699447907390917,2011
20,Kansas,KS,0.24215701332029088,2011
21,Kentucky,KY,0.2952154774812681,2011
22,Louisiana,LA,0.32795802143067326,2011
23,Maine,ME,0.18709021328980116,2011
24,Maryland,MD,0.19412496821394828,2011
25,Massachusetts,MA,0.08106087182485545,2011
26,Michigan,MI,0.2375238668922542,2011
27,Minnesota,MN,0.16134755960024658,2011
28,Mississippi,MS,0.3358255669394731,2011
29,Missouri,MO,0.24966148311934014,2011
30,Montana,MT,0.3248674480875286,2011
31,Nebraska,NE,0.20743382506194855,2011
32,Nevada,NV,0.36664383690755203,2011
33,New Hampshire,NH,0.18078050114366587,2011
34,New Jersey,NJ,0.24871300007626665,2011
35,New Mexico,NM,0.36288311993615613,2011
36,New York,NY,0.21555801991783738,2011
37,North Carolina,NC,0.28725833013738805,2011
38,North Dakota,ND,0.1755153729344458,2011
39,Ohio,OH,0.20982122750528415,2011
40,Oklahoma,OK,0.328024895154814,2011
41,Oregon,OR,0.2916465254605312,2011
42,Pennsylvania,PA,0.19463112928015264,2011
44,Rhode Island,RI,0.20568821743553595,2011
45,South Carolina,SC,0.2945147200635317,2011
46,South Dakota,SD,0.24257677015480925,2011
47,Tennessee,TN,0.2785646621326098,2011
48,Texas,TX,0.3891135306222949,2011
49,Utah,UT,0.23112255848894614,2011
50,Vermont,VT,0.13373092988451832,2011
51,Virginia,VA,0.21919880239769615,2011
53,Washington,WA,0.2625681282280572,2011
54,West Virginia,WV,0.3117398485049292,2011
55,Wisconsin,WI,0.1861357594963773,2011
56,Wyoming,WY,0.23756222526272888,2011
1,Alabama,AL,0.26884565817960504,2012
2,Alaska,AK,0.2900317177439031,2012
4,Arizona,AZ,0.29641642540838287,2012
5,Arkansas,AR,0.3257617015673906,2012
6,California,CA,0.29622114046128406,2012
8,Colorado,CO,0.2437730763623181,2012
9,Connecticut,CT,0.17391344014618232,2012
10,Delaware,DE,0.18421573884854897,2012
11,District of Columbia,DC,0.07514320610411794,2012
12,Florida,FL,0.3546434410883004,2012
13,Georgia,GA,0.3369977274704153,2012
15,Hawaii,HI,0.10588831044224516,2012
16,Idaho,ID,0.2823944355668411,2012
17,Illinois,IL,0.2385054706354531,2012
18,Indiana,IN,0.2669472912396474,2012
19,Iowa,IA,0.16294354564611516,2012
20,Kansas,KS,0.23911645113499763,2012
21,Kentucky,KY,0.26164082729025334,2012
22,Louisiana,LA,0.3148213524429362,2012
23,Maine,ME,0.2006847431836415,2012
24,Maryland,MD,0.19529082035151882,2012
25,Massachusetts,MA,0.0747715673990771,2012
26,Michigan,MI,0.2249825321972536,2012
27,Minnesota,MN,0.15502541215105672,2012
28,Mississippi,MS,0.32597158679100474,2012
29,Missouri,MO,0.24317800895824304,2012
30,Montana,MT,0.3057605744172908,2012
31,Nebraska,NE,0.20844146180390843,2012
32,Nevada,NV,0.3522184682408512,2012
33,New Hampshire,NH,0.18408414688283053,2012
34,New Jersey,NJ,0.23353671851379043,2012
35,New Mexico,NM,0.35003166363872307,2012
36,New York,NY,0.19939849864689568,2012
37,North Carolina,NC,0.292876733454015,2012
38,North Dakota,ND,0.18961390251494692,2012
39,Ohio,OH,0.21572492369141405,2012
40,Oklahoma,OK,0.31541922372191683,2012
41,Oregon,OR,0.26652855451915664,2012
42,Pennsylvania,PA,0.18594734020343473,2012
44,Rhode Island,RI,0.20708775887955894,2012
45,South Carolina,SC,0.2950027740932757,2012
46,South Dakota,SD,0.20242403880905477,2012
47,Tennessee,TN,0.25140879766676627,2012
48,Texas,TX,0.37796953004628486,2012
49,Utah,UT,0.22214209229419582,2012
50,Vermont,VT,0.1384115689861293,2012
51,Virginia,VA,0.21320847738414947,2012
53,Washington,WA,0.25655397727620216,2012
54,West Virginia,WV,0.29764345307304735,2012
55,Wisconsin,WI,0.17564765221193335,2012
56,Wyoming,WY,0.25911632386126804,2012
1,Alabama,AL,0.2791084428740925,2013
2,Alaska,AK,0.28656650017188734,2013
4,Arizona,AZ,0.2917268597233895,2013
5,Arkansas,AR,0.30318420171817473,2013
6,California,CA,0.2847121324729274,2013
8,Colorado,CO,0.22274748837732308,2013
9,Connecticut,CT,0.16336423393710195,2013
10,Delaware,DE,0.1904466056536596,2013
11,District of Columbia,DC,0.07993473279589046,2013
12,Florida,FL,0.35116550064176505,2013
13,Georgia,GA,0.3294349816541556,2013
15,Hawaii,HI,0.1140576559047781,2013
16,Idaho,ID,0.28907205400381547,2013
17,Illinois,IL,0.22551062655258072,2013
18,Indiana,IN,0.254565493380209,2013
19,Iowa,IA,0.16179336405556002,2013
20,Kansas,KS,0.21829890242815675,2013
21,Kentucky,KY,0.28467888833690774,2013
22,Louisiana,LA,0.3073844473992409,2013
23,Maine,ME,0.20223563452235635,2013
24,Maryland,MD,0.18041736041574843,2013
25,Massachusetts,MA,0.07705306352696857,2013
26,Michigan,MI,0.21453477668713117,2013
27,Minnesota,MN,0.15217260979350994,2013
28,Mississippi,MS,0.3149177774428103,2013
29,Missouri,MO,0.23904173550750665,2013
30,Montana,MT,0.27733662080584026,2013
31,Nebraska,NE,0.19055202899272014,2013
32,Nevada,NV,0.3277744236763963,2013
33,New Hampshire,NH,0.2163143977518281,2013
34,New Jersey,NJ,0.24442422263554076,2013
35,New Mexico,NM,0.35363853373414184,2013
36,New York,NY,0.19114150268695024,2013
37,North Carolina,NC,0.27674419016046603,2013
38,North Dakota,ND,0.15303408486435616,2013
39,Ohio,OH,0.1986344762922647,2013
40,Oklahoma,OK,0.2949162321380543,2013
41,Oregon,OR,0.26279844468955066,2013
42,Pennsylvania,PA,0.18320487362528914,2013
44,Rhode Island,RI,0.2127752386416779,2013
45,South Carolina,SC,0.2845306049444029,2013
46,South Dakota,SD,0.20939345693595604,2013
47,Tennessee,TN,0.25472137585483107,2013
48,Texas,TX,0.36872990576422426,2013
49,Utah,UT,0.2132019505528637,2013
50,Vermont,VT,0.11683406871983622,2013
51,Virginia,VA,0.20954275177657614,2013
53,Washington,WA,0.2574433545802617,2013
54,West Virginia,WV,0.2790605126203821,2013
55,Wisconsin,WI,0.17331740138418514,2013
56,Wyoming,WY,0.20740013975845786,2013
1,Alabama,AL,0.245002171682175,2014
2,Alaska,AK,0.2466594056011053,2014
4,Arizona,AZ,0.23789861350434618,2014
5,Arkansas,AR,0.23977208915776313,2014
6,California,CA,0.2089067376462897,2014
8,Colorado,CO,0.17814373181876958,2014
9,Connecticut,CT,0.12399283110198829,2014
